communityname;state;countyCode;communityCode;fold;population;householdsize;racepctblack;racePctWhite;racePctAsian;racePctHisp;agePct12t21;agePct12t29;agePct16t24;agePct65up;numbUrban;pctUrban;medIncome;pctWWage;pctWFarmSelf;pctWInvInc;pctWSocSec;pctWPubAsst;pctWRetire;medFamInc;perCapInc;whitePerCap;blackPerCap;indianPerCap;AsianPerCap;OtherPerCap;HispPerCap;NumUnderPov;PctPopUnderPov;PctLess9thGrade;PctNotHSGrad;PctBSorMore;PctUnemployed;PctEmploy;PctEmplManu;PctEmplProfServ;PctOccupManu;PctOccupMgmtProf;MalePctDivorce;MalePctNevMarr;FemalePctDiv;TotalPctDiv;PersPerFam;PctFam2Par;PctKids2Par;PctYoungKids2Par;PctTeen2Par;PctWorkMomYoungKids;PctWorkMom;NumKidsBornNeverMar;PctKidsBornNeverMar;NumImmig;PctImmigRecent;PctImmigRec5;PctImmigRec8;PctImmigRec10;PctRecentImmig;PctRecImmig5;PctRecImmig8;PctRecImmig10;PctSpeakEnglOnly;PctNotSpeakEnglWell;PctLargHouseFam;PctLargHouseOccup;PersPerOccupHous;PersPerOwnOccHous;PersPerRentOccHous;PctPersOwnOccup;PctPersDenseHous;PctHousLess3BR;MedNumBR;HousVacant;PctHousOccup;PctHousOwnOcc;PctVacantBoarded;PctVacMore6Mos;MedYrHousBuilt;PctHousNoPhone;PctWOFullPlumb;OwnOccLowQuart;OwnOccMedVal;OwnOccHiQuart;OwnOccQrange;RentLowQ;RentMedian;RentHighQ;RentQrange;MedRent;MedRentPctHousInc;MedOwnCostPctInc;MedOwnCostPctIncNoMtg;NumInShelters;NumStreet;PctForeignBorn;PctBornSameState;PctSameHouse85;PctSameCity85;PctSameState85;LemasSwornFT;LemasSwFTPerPop;LemasSwFTFieldOps;LemasSwFTFieldPerPop;LemasTotalReq;LemasTotReqPerPop;PolicReqPerOffic;PolicPerPop;RacialMatchCommPol;PctPolicWhite;PctPolicBlack;PctPolicHisp;PctPolicAsian;PctPolicMinor;OfficAssgnDrugUnits;NumKindsDrugsSeiz;PolicAveOTWorked;LandArea;PopDens;PctUsePubTrans;PolicCars;PolicOperBudg;LemasPctPolicOnPatr;LemasGangUnitDeploy;LemasPctOfficDrugUn;PolicBudgPerPop;murders;murdPerPop;rapes;rapesPerPop;robberies;robbbPerPop;assaults;assaultPerPop;burglaries;burglPerPop;larcenies;larcPerPop;autoTheft;autoTheftPerPop;arsons;arsonsPerPop;ViolentCrimesPerPop;nonViolPerPop
Carrolltoncity;TX;NA;NA;10;82169;02.lip;32599,00;83,12;29738,00;45931,00;43597,00;43704,00;43566,00;42064,00;82169,00;100,00;45787,00;93,10;43556,00;47,00;31594,00;17899,00;31533,00;51198,00;19065,00;20519,00;14650,00;16343,00;11980,00;8768,00;10409,00;3695,00;19085,00;41730,00;42278,00;37,45;31107,00;79,61;18,78;17,16;43807,00;36,20;43594,00;24,97;14,36;28430,00;43802,00;81,74;80,99;90,37;80,81;63,32;72,17;702,00;21551,00;9387,00;25143,00;22,63;39,52;57,25;12055,00;21217,00;19085,00;19876,00;82,80;16132,00;22341,00;26696,00;25235,00;31444,00;15738,00;64,55;43712,00;38,28;3,00;2540,00;92,30;60,67;46784,00;15,98;1981,00;31079,00;0,23;81400,00;99700,00;126600,00;45200,00;380,00;466,00;589,00;209,00;542,00;43578,00;43668,00;13,00;0,00;0,00;15646,00;44,14;37,31;57,07;82,42;115,00;119,75;94,00;97,88;51067,00;53175,40;444,10;119,70;88,34;94,78;0,87;12875,00;0,00;44682,00;3,00;6,00;35,50;36,00;2281,50;16072,00;33,00;6704963,00;81,74;5,00;22313,00;69817,90;4,00;42826,00;20,00;20,83;65,00;67,68;117,00;121,83;831,00;865,31;2542,00;2646,95;695,00;723,69;27,00;43797,00;214,51;4264,1
Brandoncity;MS;NA;NA;9;11077;lut.86;45627,00;87,10;0,51;0,60;16,31;25,69;46722,00;20271,00;11077,00;100,00;40633,00;84,13;35065,00;46,66;18,59;43588,00;13,88;46623,00;15611,00;16515,00;6240,00;0,00;44420,00;11000,00;10106,00;804,00;11871,00;23833,00;14,33;34,10;19054,00;68,00;18841,00;27,74;41456,00;37,37;12936,00;24,39;41944,00;32356,00;44256,00;80,52;78,39;94,10;85,60;68,84;74,35;146,00;31413,00;125,00;0,00;43511,00;43581,00;33,60;0,00;0,17;0,30;0,38;96,86;0,51;43160,00;21217,00;30713,00;34731,00;15008,00;82,26;42767,00;27,71;3,00;135,00;96,63;79,10;44593,00;53,33;1977,00;0,72;0,17;60900,00;77800,00;96100,00;35200,00;187,00;252,00;413,00;226,00;428,00;43734,00;43724,00;43509,00;4,00;0,00;41275,00;67,78;53,17;72,07;89,17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43508,00;905,60;0,00;NA;NA;NA;NA;0,00;NA;1,00;24289,00;1,00;24289,00;2,00;15,32;24,00;183,88;72,00;551,64;64,00;490,35;10,00;76,62;1,00;24289,00;214,53;1126,3
Watervillecity;ME;11;80740;5;17173;lut.61;0,49;98,49;0,58;0,65;20,44;33,58;21,93;14,56;0,00;0,00;22617,00;70,14;0,48;38,59;33,39;16772,00;15,83;29054,00;12002,00;11996,00;15431,00;11190,00;10520,00;10679,00;12628,00;2401,00;43571,00;12389,00;25,49;22,24;23193,00;53,74;43724,00;39,28;28460,00;29,77;17411,00;38,92;21155,00;43040,00;43710,00;66,02;65,61;70,27;66,60;61,44;69,47;385,00;43558,00;737,00;14,25;18,72;21,17;26,87;0,61;0,80;0,91;42005,00;83,40;43709,00;23408,00;24108,00;46419,00;20486,00;35796,00;56,30;0,94;56,67;2,00;425,00;93,94;49,93;43619,00;31,06;1945,00;43775,00;0,62;57100,00;74400,00;101800,00;44700,00;223,00;316,00;390,00;167,00;359,00;26,00;43513,00;43658,00;0,00;0,00;11414,00;65,55;46,49;70,52;80,86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43479,00;1218,90;0,40;NA;NA;NA;NA;0,00;NA;0,00;0,00;2,00;11658,00;3,00;18,47;30,00;184,66;121,00;744,80;801,00;4930,44;33,00;203,13;1,00;42522,00;215,44;5884,5
SugarLandcity;TX;NA;NA;4;24529;03.mar;35521,00;79,18;32112,00;17380,00;43537,00;21,25;32721,00;43683,00;24529,00;100,00;56571,00;88,28;16469,00;56,40;43538,00;13516,00;31656,00;60301,00;24200,00;26341,00;16535,00;8366,00;16413,00;12988,00;16948,00;610,00;43587,00;12114,00;11933,00;43,06;43681,00;70,61;11658,00;26,94;30042,00;44,55;19115,00;20,57;43654,00;30468,00;11383,00;90,41;88,59;97,45;93,33;64,92;70,73;205,00;12785,00;3538,00;30164,00;13,76;32,31;43,81;46388,00;36161,00;24198,00;11841,00;78,83;24838,00;20180,00;31472,00;43468,00;43711,00;22313,00;85,29;27426,00;15,35;3,00;479,00;94,42;83,05;0,21;21,29;1980,00;0,57;0,14;69700,00;92700,00;160600,00;90900,00;467,00;556,00;682,00;215,00;723,00;43487,00;43729,00;43597,00;0,00;0,00;14,42;51,69;47,58;62,28;89,55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43658,00;1929,60;14246,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;0,00;0,00;16,00;50,87;52,00;165,33;224,00;712,20;789,00;2508,58;125,00;397,43;5,00;43723,00;216,20;3634,1
Wolcotttown;CT;9;87560;7;13700;lut.96;20821,00;97,58;0,42;43556,00;13,85;25,13;24077,00;43596,00;8684,00;63,39;48507,00;85,98;0,66;53,08;25,92;43680,00;18,73;52230,00;18029,00;18066,00;19470,00;0,00;15001,00;11148,00;28888,00;245,00;29587,00;43617,00;21,15;15,56;30072,00;68,79;27,26;19,37;43662,00;23,97;23132,00;27,36;24289,00;24624,00;45717,00;87,01;83,27;95,36;80,53;67,84;74,39;86,00;0,84;752,00;26665,00;26665,00;31472,00;43777,00;0,09;0,09;0,21;0,45;89,35;0,66;21276,00;28185,00;34001,00;43499,00;43498,00;91,75;0,84;23,78;3,00;234,00;95,20;89,02;0,00;61,97;1962,00;0,00;0,23;130200,00;154200,00;185200,00;55000,00;264,00;475,00;653,00;389,00;635,00;24,00;43607,00;43567,00;0,00;0,00;18019,00;78,86;70,54;93,10;97,91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43517,00;647,30;0,39;NA;NA;NA;NA;0,00;NA;0,00;0,00;11,00;79,31;6,00;43,26;13,00;93,73;83,00;598,41;254,00;1831,29;39,00;281,18;1,00;44378,00;216,29;2718,1
Ewingtownship;NJ;21;22185;6;34185;lut.82;18,26;78,71;28856,00;25235,00;16,96;28,21;17,49;15,37;34185,00;100,00;43191,00;79,33;0,23;55,60;34,03;41334,00;23,96;50314,00;18102,00;19065,00;13723,00;16226,00;30743,00;8791,00;10064,00;1013,00;11383,00;30133,00;20,69;25,55;30011,00;62,49;13,84;29,32;44835,00;31,63;44743,00;35,63;25051,00;8,00;43499,00;80,43;74,90;90,73;70,08;65,51;76,29;455,00;43587,00;1956,00;43622,00;44896,00;17,28;22,96;0,38;0,70;0,99;11324,00;91,46;0,73;43589,00;3,00;19756,00;26696,00;34335,00;80,86;43556,00;34,85;3,00;416,00;96,68;74,97;43557,00;23,56;1958,00;0,64;0,07;105600,00;135600,00;172100,00;66500,00;454,00;543,00;633,00;179,00;581,00;43608,00;43576,00;43598,00;0,00;0,00;26420,00;65,68;63,83;81,92;93,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43723,00;2151,60;13181,00;NA;NA;NA;NA;0,00;NA;2,00;25324,00;11,00;31,31;38,00;108,15;25,00;71,15;220,00;626,16;1027,00;2923,01;514,00;1462,93;18,00;51,23;216,31;5063,3
Mariettacity;OH;167;47628;2;15026;lut.53;46753,00;98,06;0,41;0,48;16,54;27,96;16,23;14,53;0,00;0,00;20950,00;68,31;0,49;39,01;32,44;43040,00;19,38;26986,00;11646,00;11759,00;5322,00;3288,00;0,00;7931,00;4042,00;2435,00;17,68;46661,00;24,71;19,77;30103,00;55,09;14,23;34,55;35765,00;31,99;43718,00;30,24;13,55;13485,00;33635,00;68,64;68,03;82,30;71,60;61,38;68,63;268,00;45689,00;93,00;0,00;43553,00;43,01;43,01;0,00;0,18;0,27;0,27;97,82;0,35;43649,00;43557,00;11720,00;15373,00;42767,00;62,25;41275,00;45,27;3,00;546,00;91,58;59,60;43466,00;50,92;1941,00;21367,00;0,42;33200,00;46400,00;67400,00;34200,00;171,00;230,00;286,00;115,00;300,00;43490,00;43601,00;43597,00;8,00;0,00;0,62;68,16;52,36;78,11;86,77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,00;1885,00;0,95;NA;NA;NA;NA;0,00;NA;1,00;20972,00;9,00;59,12;8,00;52,55;15,00;98,54;84,00;551,80;641,00;4210,73;24,00;157,66;0,00;0,00;216,78;4920,2
Parkersburgcity;WV;NA;NA;1;33862;lut.34;43647,00;97,70;0,30;0,29;17502,00;23,71;20029,00;17,41;33809,00;100,00;20461,00;64,27;0,43;35,80;38,41;15585,00;43517,00;26550,00;11269,00;11322,00;8976,00;5115,00;15083,00;0,00;17367,00;6308,00;18,99;13,76;30,81;43689,00;43473,00;50,90;19,48;24,23;17,86;22,77;13089,00;25,25;14,62;13,17;32540,00;67,27;64,43;72,81;75,54;52,37;63,04;763,00;43618,00;272,00;41609,00;14,34;15,81;15,81;0,10;0,12;0,13;0,13;97,75;0,44;43558,00;2,00;43526,00;14277,00;42401,00;65,27;0,95;48,37;3,00;1878,00;88,51;62,93;15036,00;54,58;1951,00;43533,00;0,32;30900,00;42600,00;60000,00;29100,00;179,00;247,00;299,00;120,00;330,00;43492,00;43540,00;43537,00;4,00;1,00;0,80;80,69;56,47;86,73;91,55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43627,00;2926,20;0,90;NA;NA;NA;NA;0,00;NA;3,00;43533,00;12,00;36,13;18,00;54,20;39,00;117,43;347,00;1044,87;820,00;2469,14;66,00;198,74;37,00;111,41;216,80;3824,2
Phoenixvilleborough;PA;29;60120;10;15066;02.kwi;43591,00;91,93;41275,00;42736,00;36039,00;27,58;16742,00;13,34;15066,00;100,00;31848,00;79,77;0,24;43,96;27,82;6,00;17,96;39249,00;15138,00;15441,00;11999,00;0,00;4680,00;7098,00;6760,00;794,00;13271,00;17046,00;25,93;18,95;27820,00;66,48;23,39;20,69;16,39;43487,00;32387,00;33,99;13,18;22951,00;43468,00;74,11;72,18;84,13;77,42;59,70;71,17;288,00;28157,00;516,00;13150,00;33451,00;32387,00;18,99;0,05;0,31;0,34;0,65;92,23;43466,00;45383,00;43648,00;13547,00;22313,00;43587,00;63,34;14246,00;44,66;3,00;353,00;94,67;57,50;30348,00;34,84;1952,00;19360,00;0,14;76600,00;94700,00;118800,00;42200,00;398,00;479,00;555,00;157,00;546,00;43641,00;43668,00;43538,00;5,00;0,00;15401,00;78,40;55,74;76,06;90,65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43649,00;4062,20;26665,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;3,00;19,13;14,00;89,29;17,00;108,43;63,00;401,81;335,00;2136,62;85,00;542,13;0,00;0,00;216,85;3080,6
Martinsvillecity;IN;NA;NA;9;11677;lut.65;0,00;99,43;0,15;0,51;43631,00;27,84;13,57;13,27;0,00;0,00;24868,00;76,24;0,62;33,43;32,29;17685,00;14,94;29955,00;11175,00;11165,00;0,00;11213,00;30125,00;0,00;5974,00;1221,00;30956,00;18872,00;30,57;43505,00;35186,00;59,84;27,78;21,21;22,48;16,33;18933,00;23,14;14,64;43509,00;43649,00;73,87;70,72;77,47;78,43;60,20;72,71;108,00;43525,00;46,00;0,00;0,00;0,00;21,74;0,00;0,00;0,00;0,09;98,33;0,36;19784,00;22313,00;20852,00;25235,00;13547,00;64,38;36192,00;53,87;2,00;196,00;95,74;61,39;19360,00;48,47;1960,00;43474,00;0,98;37000,00;47600,00;63800,00;26800,00;209,00;285,00;340,00;131,00;366,00;43578,00;43631,00;43719,00;9,00;0,00;0,39;85,06;52,69;86,15;94,65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43500,00;2790,90;0,25;NA;NA;NA;NA;0,00;NA;0,00;0,00;1,00;43532,00;0,00;0,00;26,00;208,84;59,00;473,90;408,00;3277,11;20,00;160,64;3,00;43489,00;216,87;3935,7
Cudahycity;WI;79;17975;2;18659;lut.51;0,57;97,78;0,60;43497,00;24442,00;26,51;43800,00;34304,00;18659,00;100,00;30031,00;77,28;0,33;53,08;30,86;30803,00;22,57;34481,00;13006,00;13069,00;1196,00;8736,00;12194,00;6909,00;7279,00;1164,00;46174,00;34912,00;43519,00;41518,00;35886,00;64,88;26,37;20,94;20,17;19,89;35309,00;30,29;47423,00;24016,00;43588,00;74,16;73,97;85,86;76,74;74,41;77,63;279,00;35065,00;633,00;31168,00;19572,00;18,33;19,59;0,20;0,29;0,62;0,66;92,35;0,89;43711,00;43132,00;43587,00;26696,00;42767,00;64,34;28126,00;44,58;3,00;202,00;97,36;58,92;0,99;37,62;1954,00;14277,00;0,86;55400,00;65400,00;73800,00;18400,00;270,00;346,00;422,00;152,00;403,00;23,00;43605,00;43690,00;0,00;0,00;14305,00;84,36;61,88;93,43;95,80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43712,00;3790,60;23833,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;4,00;21,73;12,00;65,18;24,00;130,36;105,00;570,31;475,00;2579,98;80,00;434,52;1,00;15827,00;217,26;3590,2
JeffersonCitycity;MO;NA;NA;5;35481;lut.51;43718,00;88,84;0,46;0,78;27364,00;26,59;43478,00;13,63;0,00;0,00;27597,00;77,22;43467,00;50,58;43494,00;31837,00;18,75;37862,00;15701,00;15910,00;14549,00;11915,00;6613,00;4996,00;15751,00;3132,00;24716,00;46296,00;21,93;27,48;29677,00;59,78;46935,00;25,98;35582,00;34,60;46692,00;31,88;22981,00;35370,00;35096,00;76,00;74,50;82,03;77,56;77,77;79,84;547,00;43679,00;486,00;18172,00;26969,00;22,22;28,19;0,14;0,16;0,30;0,39;96,40;0,36;11749,00;43679,00;46784,00;20486,00;32143,00;66,71;1,00;45,59;3,00;1275,00;91,74;59,51;45658,00;28,31;1963,00;35490,00;0,20;46600,00;61500,00;84000,00;37400,00;189,00;252,00;298,00;109,00;326,00;43699,00;43693,00;12,00;30,00;0,00;13516,00;76,07;48,75;74,35;92,02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43643,00;1287,80;12055,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;4,00;27303,00;26,00;69,79;51,00;136,91;231,00;620,10;1274,00;3419,95;61,00;163,75;8,00;21,48;217,44;4225,3
Tigardcity;OR;NA;NA;1;29344;lut.43;0,74;94,33;15766,00;12816,00;13455,00;25,88;43476,00;47027,00;29344,00;100,00;35669,00;82,00;42005,00;55,73;22,25;34366,00;14,56;42112,00;16946,00;17103,00;16644,00;21606,00;15528,00;5954,00;8405,00;1389,00;27485,00;43679,00;43717,00;30,13;43469,00;69,80;15,95;21,52;29068,00;32,48;43475,00;25,78;14,76;20424,00;34731,00;78,54;78,85;92,37;75,72;66,08;74,19;164,00;0,88;1468,00;16,42;23,98;32,08;35,63;0,82;43497,00;22282,00;28491,00;93,11;41640,00;35462,00;43587,00;15373,00;25235,00;43618,00;64,18;43526,00;47,46;3,00;544,00;95,68;57,79;0,92;19906,00;1976,00;20090,00;0,12;74700,00;90400,00;112000,00;37300,00;370,00;428,00;520,00;150,00;484,00;43489,00;43667,00;43627,00;16,00;0,00;5,00;44,77;36,60;61,26;82,85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43626,00;2780,90;13606,00;NA;NA;NA;NA;0,00;NA;3,00;43532,00;6,00;43632,00;56,00;154,95;14,00;38,74;274,00;758,14;1797,00;4972,19;136,00;376,30;22,00;60,87;218,59;6167,5
Westporttown;MA;5;77570;8;13852;02.sie;0,14;99,08;0,45;0,64;43814,00;25,78;13,76;43689,00;5360,00;38,69;37092,00;76,79;13181,00;49,33;31,71;24990,00;16,37;42250,00;15525,00;15545,00;0,00;0,00;0,00;0,00;4521,00;596,00;11780,00;15,41;43708,00;18,72;16619,00;63,10;20,39;20,27;15,22;27,27;15888,00;27,99;34881,00;25385,00;43499,00;85,68;81,85;98,76;92,09;71,21;79,27;100,00;0,97;756,00;0,00;0,00;0,00;42795,00;0,00;0,00;0,00;0,17;86,25;46784,00;43712,00;30011,00;43679,00;34366,00;43498,00;84,94;17168,00;33,68;3,00;929,00;84,20;80,86;32203,00;82,13;1962,00;0,28;0,65;116000,00;149600,00;197100,00;81100,00;332,00;460,00;549,00;217,00;515,00;43488,00;43485,00;43722,00;0,00;0,00;16923,00;81,22;74,79;94,42;96,61;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;51,90;267,10;0,55;NA;NA;NA;NA;0,00;NA;0,00;0,00;3,00;20,55;1,00;31199,00;28,00;191,77;79,00;541,06;128,00;876,65;34,00;232,86;1,00;31199,00;219,16;1657,4
CollegeStationcity;TX;NA;NA;9;52456;lut.93;46905,00;82,96;19876,00;33817,00;43,38;66,64;55,32;20121,00;52456,00;100,00;14481,00;90,99;11720,00;45,85;43653,00;43678,00;19115,00;32326,00;9262,00;9844,00;6439,00;8416,00;7636,00;4229,00;5096,00;15648,00;37,98;16469,00;45078,00;58,92;35916,00;49,12;43620,00;50,82;22798,00;37,71;29983,00;71,26;35521,00;29646,00;43468,00;80,01;77,47;86,27;74,15;58,30;67,32;429,00;35096,00;4787,00;38,52;53,60;64,34;70,29;19054,00;32599,00;31898,00;15128,00;86,48;43497,00;15036,00;17168,00;11355,00;31444,00;41306,00;29,68;43471,00;70,30;2,00;1967,00;90,09;23,97;0,86;46,72;1977,00;28157,00;0,12;62200,00;79500,00;107000,00;44800,00;287,00;356,00;427,00;140,00;428,00;35,10;43517,00;43688,00;0,00;0,00;41518,00;56,56;16,95;31,37;83,92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43615,00;1719,20;35855,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;19,00;32,56;25,00;42,84;84,00;143,96;405,00;694,08;1622,00;2779,73;125,00;214,22;1,00;25934,00;219,36;3689,7
LowerSalfordtownship;PA;91;45096;7;10735;lut.89;43647,00;96,67;42005,00;43497,00;46692,00;23,45;41913,00;46569,00;7784,00;72,27;45262,00;86,46;42005,00;54,95;18,95;46419,00;43595,00;49820,00;17355,00;17538,00;7033,00;0,00;24369,00;10088,00;12351,00;406,00;29646,00;27546,00;17,77;43522,00;35431,00;74,11;28,92;19,44;13,26;29,18;17654,00;43730,00;43716,00;31199,00;46813,00;86,43;86,01;91,60;91,70;59,36;68,22;111,00;20090,00;219,00;23802,00;21794,00;23,29;23,29;0,07;0,20;0,48;0,48;95,08;0,62;14336,00;17227,00;31444,00;43772,00;11355,00;74,59;1,00;33,91;3,00;115,00;97,00;68,58;0,00;20,87;1978,00;0,35;0,42;131100,00;160600,00;195600,00;64500,00;403,00;510,00;600,00;197,00;628,00;43700,00;43670,00;43566,00;0,00;0,00;43526,00;81,88;59,03;84,26;92,12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,00;717,30;43556,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;2,00;18,32;0,00;0,00;22,00;201,52;20,00;183,20;103,00;943,48;6,00;54,96;1,00;42614,00;219,84;1190,8
Holbrooktown;MA;21;30455;10;11041;02.sie;43527,00;95,43;0,94;15342,00;43720,00;26,91;13,15;32813,00;11041,00;100,00;37775,00;80,10;0,47;37,82;29,98;23559,00;43693,00;43947,00;15469,00;15706,00;10397,00;0,00;8281,00;14707,00;6073,00;669,00;43471,00;35156,00;17,16;16,29;24654,00;65,05;14,77;43547,00;43692,00;22,16;17319,00;32,52;19968,00;43685,00;47178,00;81,11;78,33;82,45;78,42;61,60;67,92;120,00;12420,00;656,00;30317,00;18688,00;43472,00;47058,00;0,11;0,21;0,42;0,67;90,45;0,63;46539,00;43650,00;28887,00;43588,00;43557,00;81,60;20090,00;36,96;3,00;100,00;97,52;74,80;2,00;27,00;1956,00;0,91;0,37;120300,00;139600,00;161000,00;40700,00;249,00;526,00;656,00;407,00;578,00;43675,00;43607,00;43480,00;0,00;0,00;34455,00;84,32;71,44;85,40;98,83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43623,00;1449,30;16254,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;4,00;35,18;11,00;96,74;10,00;87,94;90,00;791,49;152,00;1336,73;63,00;554,04;0,00;0,00;219,86;2682,3
Somervilleborough;NJ;35;68460;7;11632;lut.56;35004,00;81,10;30376,00;43716,00;17076,00;27,85;20790,00;13,26;11632,00;100,00;39667,00;79,97;0,47;54,54;29,41;27120,00;19,52;48367,00;17804,00;19148,00;12216,00;15179,00;13320,00;10642,00;10481,00;644,00;26785,00;13394,00;43667,00;24,47;16923,00;65,79;18,75;43642,00;13,78;43737,00;16316,00;36,56;13455,00;15980,00;43588,00;72,69;68,97;82,60;73,23;62,25;76,75;336,00;42461,00;1331,00;43583,00;39,97;44,93;55,07;45717,00;20911,00;41760,00;43530,00;83,15;27089,00;22402,00;43649,00;16469,00;28522,00;41671,00;55,95;43773,00;56,46;2,00;307,00;93,67;49,47;21245,00;43702,00;1951,00;23071,00;0,25;135300,00;160900,00;185800,00;50500,00;537,00;616,00;689,00;152,00;680,00;43551,00;23,00;43513,00;23,00;39,00;16377,00;56,92;57,01;77,18;86,62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43557,00;4755,50;42430,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;5,00;40,80;13,00;106,07;9,00;73,43;75,00;611,95;467,00;3810,38;26,00;212,14;3,00;24,48;220,30;4658,9
Middletowntown;CT;7;47360;9;42762;lut.54;43476,00;85,43;33970,00;43527,00;15,31;33,76;17,89;43687,00;42762,00;100,00;37644,00;81,61;0,87;49,04;23,45;30407,00;14,54;44339,00;17814,00;18697,00;13316,00;16296,00;10532,00;8397,00;10468,00;2745,00;43503,00;19998,00;22,74;26,44;15797,00;67,72;18,58;30,42;46296,00;31,36;18142,00;40,53;43628,00;30590,00;34001,00;69,73;65,11;76,47;68,71;65,80;74,47;1193,00;27485,00;3219,00;43654,00;17,27;25,19;32,71;0,65;43525,00;43709,00;16834,00;85,99;43467,00;43558,00;34700,00;11355,00;20121,00;43648,00;55,94;17899,00;57,31;2,00;1281,00;92,92;50,74;45658,00;34,04;1964,00;45689,00;0,17;126900,00;157000,00;191800,00;64900,00;338,00;500,00;653,00;315,00;576,00;43640,00;43546,00;43509,00;96,00;0,00;19541,00;59,47;47,92;69,03;82,93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42,40;1009,20;43467,00;NA;NA;NA;NA;0,00;NA;3,00;43562,00;5,00;26969,00;27,00;63,36;59,00;138,45;323,00;757,95;1463,00;3433,06;290,00;680,51;3,00;43562,00;220,58;4878,6
Corvalliscity;OR;NA;NA;3;44757;lut.67;43101,00;89,13;43593,00;27791,00;24,96;43,59;31,11;42948,00;0,00;0,00;23212,00;81,08;17899,00;54,07;19,14;30376,00;13,39;34287,00;11921,00;12486,00;5112,00;7848,00;7760,00;6560,00;6191,00;8076,00;20,97;43557,00;34151,00;49,01;19115,00;54,97;28095,00;43,43;33786,00;37,53;6,00;51,79;18172,00;44409,00;33635,00;76,78;76,44;85,25;76,16;53,54;67,00;282,00;46023,00;4552,00;44,38;57,12;67,07;72,03;18719,00;29707,00;30103,00;12236,00;88,43;24838,00;43527,00;32143,00;43526,00;21217,00;43710,00;48,46;15766,00;54,08;2,00;564,00;96,74;43,22;24139,00;15311,00;1967,00;16469,00;0,60;56000,00;71000,00;94000,00;38000,00;268,00;334,00;410,00;142,00;385,00;43496,00;43697,00;43508,00;11,00;3,00;43009,00;37,61;29,99;50,09;74,88;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43568,00;3343,10;20455,00;NA;NA;NA;NA;0,00;NA;1,00;43801,00;18,00;38,24;28,00;59,49;57,00;121,10;344,00;730,86;1856,00;3943,23;76,00;161,47;26,00;55,24;220,96;4890,8
